Date,Close,Open,High,Low,Volume,Symbol,Label
2020-04-10,757.94,759.08,764.36,751.59,338400.0,VNINDEX,2
2020-04-13,765.79,762.99,774.62,762.53,235280.0,VNINDEX,2
2020-04-14,767.41,769.01,769.53,753.85,266780.0,VNINDEX,2
2020-04-15,777.22,768.05,779.52,768.01,302620.0,VNINDEX,2
2020-04-16,780.7,773.11,781.06,770.91,250940.0,VNINDEX,2
2020-04-17,789.6,786.96,790.95,783.74,309860.0,VNINDEX,2
2020-04-20,794.97,796.17,797.49,786.73,336050.0,VNINDEX,2
2020-04-21,766.84,794.97,794.97,761.96,397400.0,VNINDEX,2
2020-04-22,768.92,752.8,774.94,749.97,253440.0,VNINDEX,2
2020-04-23,773.91,768.92,785.6,768.92,205800.0,VNINDEX,2
2020-04-24,776.66,777.28,778.3,767.31,262270.0,VNINDEX,2
2020-04-27,770.77,780.65,785.74,770.77,307360.0,VNINDEX,2
2020-04-28,767.21,773.31,776.13,763.66,219400.0,VNINDEX,2
2020-04-29,769.11,768.59,772.62,768.19,250080.0,VNINDEX,2
2020-05-04,762.47,766.14,769.73,761.64,285570.0,VNINDEX,2
2020-05-05,764.16,763.22,767.03,760.04,212380.0,VNINDEX,2
2020-05-06,782.59,767.3,782.59,765.37,272450.0,VNINDEX,2
2020-05-07,796.54,785.08,796.54,785.08,240800.0,VNINDEX,2
2020-05-08,813.73,800.32,825.72,800.2,371340.0,VNINDEX,2
2020-05-11,828.33,818.26,828.33,812.48,353420.0,VNINDEX,2
2020-05-12,835.32,827.29,835.95,819.66,322210.0,VNINDEX,2
2020-05-13,834.21,835.32,839.59,815.13,374600.0,VNINDEX,2
2020-05-14,832.4,830.97,836.19,826.17,341120.0,VNINDEX,2
2020-05-15,827.03,835.42,838.47,824.59,301890.0,VNINDEX,2
2020-05-18,837.01,827.49,837.61,823.08,254050.0,VNINDEX,2
2020-05-19,845.92,852.14,854.25,844.15,385270.0,VNINDEX,2
2020-05-20,852.91,843.26,852.91,842.21,265770.0,VNINDEX,2
2020-05-21,862.73,854.93,862.73,854.04,331910.0,VNINDEX,2
2020-05-22,852.74,859.29,860.65,852.08,303980.0,VNINDEX,2
2020-05-25,859.04,852.9,860.45,849.12,307230.0,VNINDEX,2
2020-05-26,869.13,861.47,869.65,860.22,328350.0,VNINDEX,2
2020-05-27,857.48,869.13,875.35,857.48,388900.0,VNINDEX,2
2020-05-28,861.39,858.97,866.17,856.48,322220.0,VNINDEX,2
2020-05-29,864.47,861.59,866.95,859.26,318190.0,VNINDEX,2
2020-06-01,878.67,868.97,878.67,868.97,476520.0,VNINDEX,2
2020-06-02,874.8,879.23,882.73,874.53,484710.0,VNINDEX,2
2020-06-03,881.17,876.73,881.17,874.01,351960.0,VNINDEX,2
2020-06-04,883.9,883.22,888.32,883.22,431120.0,VNINDEX,2
2020-06-05,886.22,883.4,886.59,878.5,499610.0,VNINDEX,2
2020-06-08,899.92,888.7,905.65,888.7,572020.0,VNINDEX,2
2020-06-09,899.43,902.26,904.89,898.87,501730.0,VNINDEX,1
2020-06-10,900.0,898.78,902.69,890.3,542870.0,VNINDEX,1
2020-06-11,867.37,900.48,903.7,867.37,707460.0,VNINDEX,1
2020-06-12,863.52,841.85,863.52,841.44,620770.0,VNINDEX,1
2020-06-15,832.47,867.52,868.16,832.47,708240.0,VNINDEX,1
2020-06-16,856.13,848.86,858.7,844.67,412450.0,VNINDEX,1
2020-06-17,854.44,861.05,861.05,852.27,354840.0,VNINDEX,1
2020-06-18,855.27,850.92,858.03,847.49,280310.0,VNINDEX,1
2020-06-19,868.56,857.77,868.56,857.77,440090.0,VNINDEX,1
2020-06-22,871.28,871.56,872.94,867.37,350370.0,VNINDEX,1
2020-06-23,868.2,871.12,873.2,864.02,455360.0,VNINDEX,1
2020-06-24,859.71,868.2,873.13,857.58,370920.0,VNINDEX,1
2020-06-25,854.59,851.09,856.23,849.65,312300.0,VNINDEX,1
2020-06-26,851.98,859.07,862.59,850.66,300390.0,VNINDEX,1
2020-06-29,829.36,846.26,846.53,826.0,389640.0,VNINDEX,1
2020-06-30,825.11,836.72,840.31,821.92,358390.0,VNINDEX,1
2020-07-01,843.49,827.67,844.26,826.38,303550.0,VNINDEX,1
2020-07-02,842.38,845.66,845.66,838.48,223800.0,VNINDEX,1
2020-07-03,847.61,845.26,848.16,843.25,203000.0,VNINDEX,1
2020-07-06,861.16,851.47,861.85,850.04,215090.0,VNINDEX,1
2020-07-07,863.42,865.46,870.63,863.42,330900.0,VNINDEX,1
2020-07-08,864.5,861.75,865.58,859.98,237540.0,VNINDEX,1
2020-07-09,876.46,867.66,878.36,867.45,306080.0,VNINDEX,1
2020-07-10,871.21,873.7,878.53,867.59,291110.0,VNINDEX,1
2020-07-13,868.72,874.85,876.83,866.99,246070.0,VNINDEX,1
2020-07-14,868.11,865.01,868.11,860.28,239140.0,VNINDEX,1
2020-07-15,869.91,872.8,876.69,869.91,258290.00000000003,VNINDEX,1
2020-07-16,876.83,871.81,876.83,869.25,243470.0,VNINDEX,1
2020-07-17,872.02,873.48,875.07,871.89,270680.0,VNINDEX,1
2020-07-20,861.4,870.66,871.64,861.4,285080.0,VNINDEX,1
2020-07-21,861.69,863.94,864.7,856.94,245410.0,VNINDEX,1
2020-07-22,855.08,862.8,864.0,854.97,278600.0,VNINDEX,1
2020-07-23,856.75,854.92,857.22,851.97,240500.0,VNINDEX,1
2020-07-24,829.16,854.23,854.57,816.65,505100.0,VNINDEX,1
2020-07-27,785.17,794.14,808.74,780.64,422710.0,VNINDEX,1
2020-07-28,813.36,786.72,814.4,786.67,328490.0,VNINDEX,1
2020-07-29,790.84,800.39,800.39,779.82,362090.0,VNINDEX,1
2020-07-30,801.13,796.22,802.97,794.88,188950.0,VNINDEX,1
2020-07-31,798.39,787.78,803.55,786.98,249630.0,VNINDEX,2
2020-08-03,814.65,796.86,814.84,796.47,298140.0,VNINDEX,2
2020-08-04,827.57,822.86,827.57,820.2,277450.0,VNINDEX,2
2020-08-05,837.8,827.54,839.52,820.74,306640.0,VNINDEX,2
2020-08-06,840.04,838.01,844.16,833.56,257020.0,VNINDEX,2
2020-08-07,841.46,840.65,844.33,836.84,259890.0,VNINDEX,2
2020-08-10,843.2,845.11,849.52,843.2,309300.0,VNINDEX,2
2020-08-11,843.08,847.61,847.61,840.35,249000.0,VNINDEX,2
2020-08-12,846.92,844.19,848.54,842.88,272490.0,VNINDEX,2
2020-08-13,855.05,849.96,855.19,849.86,256250.0,VNINDEX,2
2020-08-14,850.74,854.29,860.32,848.38,304710.0,VNINDEX,2
2020-08-17,850.15,848.08,852.05,841.62,237510.0,VNINDEX,2
2020-08-18,846.43,850.15,851.06,845.0,227510.0,VNINDEX,2
2020-08-19,851.21,847.19,853.15,846.22,240150.0,VNINDEX,2
2020-08-20,848.21,851.21,856.99,847.44,285690.0,VNINDEX,2
2020-08-21,854.78,849.99,856.45,849.69,286820.0,VNINDEX,2
2020-08-24,868.68,860.35,868.68,860.35,381520.0,VNINDEX,2
2020-08-25,874.12,870.92,877.57,870.92,399070.0,VNINDEX,2
2020-08-26,873.47,873.62,876.97,871.78,352380.0,VNINDEX,2
2020-08-27,874.71,872.38,875.71,871.93,325720.0,VNINDEX,2
2020-08-28,878.98,878.79,885.86,877.7,398320.0,VNINDEX,2
2020-08-31,881.65,882.13,888.44,879.26,352650.0,VNINDEX,2
2020-09-01,891.73,882.4,892.51,880.79,317000.0,VNINDEX,2
2020-09-03,903.97,898.25,904.32,896.26,370490.0,VNINDEX,2
2020-09-04,901.54,896.02,903.11,893.86,346440.0,VNINDEX,2
2020-09-07,888.25,903.85,905.8,888.25,434060.0,VNINDEX,2
2020-09-08,890.14,891.61,894.58,884.88,294020.0,VNINDEX,2
2020-09-09,889.32,883.68,892.4,881.57,318440.0,VNINDEX,2
2020-09-10,888.82,895.29,896.78,888.82,387240.0,VNINDEX,2
2020-09-11,888.97,888.82,890.98,884.67,309910.0,VNINDEX,2
2020-09-14,894.57,891.89,895.31,891.89,364430.0,VNINDEX,2
2020-09-15,896.26,896.61,898.74,894.66,381800.0,VNINDEX,2
2020-09-16,897.47,897.43,897.58,894.63,290430.0,VNINDEX,2
2020-09-17,894.04,897.47,899.41,890.93,395460.0,VNINDEX,2
2020-09-18,900.95,896.08,902.11,895.82,361840.0,VNINDEX,2
2020-09-21,907.94,904.5,909.78,904.5,403440.0,VNINDEX,2
2020-09-22,906.19,905.9,909.69,902.47,401410.0,VNINDEX,2
2020-09-23,912.5,908.97,913.52,908.97,392510.0,VNINDEX,2
2020-09-24,908.58,910.53,914.51,907.32,398460.0,VNINDEX,2
2020-09-25,908.27,910.78,911.3,905.56,361230.0,VNINDEX,2
2020-09-28,912.5,911.2,913.6,910.04,420240.0,VNINDEX,2
2020-09-29,903.98,916.63,917.49,903.98,465360.0,VNINDEX,2
2020-09-30,905.21,904.34,907.0,900.44,340690.0,VNINDEX,2
2020-10-01,914.09,910.13,914.09,909.13,352450.0,VNINDEX,2
2020-10-02,909.91,914.09,916.67,897.72,527160.0,VNINDEX,2
2020-10-05,914.68,913.77,915.55,910.96,456100.0,VNINDEX,2
2020-10-06,915.67,918.11,918.93,912.77,496130.0,VNINDEX,2
2020-10-07,919.72,913.62,923.57,912.69,523960.00000000006,VNINDEX,2
2020-10-08,918.84,922.08,922.08,913.89,470300.0,VNINDEX,2
2020-10-09,924.0,919.48,924.0,917.7,388130.0,VNINDEX,2
2020-10-12,925.83,930.78,933.13,923.28,457230.0,VNINDEX,2
2020-10-13,929.86,926.76,930.96,923.78,359020.0,VNINDEX,2
2020-10-14,940.18,931.89,940.18,931.89,474920.0,VNINDEX,2
2020-10-15,942.76,945.28,945.93,938.7,470510.0,VNINDEX,2
2020-10-16,943.3,944.03,946.23,935.98,443330.0,VNINDEX,2
2020-10-19,943.69,945.01,946.29,941.92,389470.0,VNINDEX,2
2020-10-20,944.42,941.0,944.54,937.32,444330.0,VNINDEX,2
2020-10-21,939.03,947.16,948.2,939.0,412650.0,VNINDEX,2
2020-10-22,949.9,938.06,949.9,933.78,365120.0,VNINDEX,2
2020-10-23,961.26,953.45,961.26,953.14,452490.0,VNINDEX,2
2020-10-26,950.8,967.52,970.15,950.8,428250.0,VNINDEX,2
2020-10-27,946.47,950.8,954.72,946.28,455850.0,VNINDEX,2
2020-10-28,921.05,942.82,946.91,921.05,456060.0,VNINDEX,2
2020-10-29,919.08,916.49,925.84,914.33,436130.0,VNINDEX,2
2020-10-30,925.47,925.41,926.32,911.2,312750.0,VNINDEX,2
2020-11-02,933.68,926.09,933.68,924.14,297600.0,VNINDEX,2
2020-11-03,935.41,936.73,937.57,932.18,318700.0,VNINDEX,2
2020-11-04,939.76,935.41,943.56,933.86,350870.0,VNINDEX,2
2020-11-05,937.75,940.32,945.51,937.75,304330.0,VNINDEX,2
2020-11-06,938.29,939.73,941.2,934.63,268230.0,VNINDEX,2
2020-11-09,951.99,942.15,951.99,942.15,393200.0,VNINDEX,2
2020-11-10,951.9,962.68,963.47,951.9,456750.0,VNINDEX,2
2020-11-11,952.22,954.46,956.65,947.61,376510.0,VNINDEX,2
2020-11-12,959.28,953.97,959.28,953.62,343910.0,VNINDEX,2
2020-11-13,966.29,959.56,966.29,959.13,457830.0,VNINDEX,2
2020-11-16,950.79,970.11,972.98,950.5,518930.0,VNINDEX,2
2020-11-17,968.9,955.52,968.9,953.22,400960.0,VNINDEX,2
