Date,Close,Open,High,Low,Volume,Symbol,Label,Feature_Trend,Feature_Momemtum,Feature_Volatility,Feature_Volume,SMA5,SMA10,EMA_3,EMA_5
2020-01-15,967.56,967.69,967.69,964.84,150040.0,VNINDEX,0,0.0,0.0,-0.0594059405940594,13,965.818,962.4549999999999,966.62412109375,965.435787227557
2020-01-16,974.31,967.2,974.7,967.17,201250.0,VNINDEX,0,0.0,0.0,-0.0594059405940594,20,968.65,963.219,970.467060546875,968.3938581517046
2020-01-17,978.96,976.28,980.02,973.79,164140.0,VNINDEX,0,0.0,0.0,-0.0594059405940594,9,970.734,964.601,974.7135302734375,971.9159054344698
2020-01-20,978.63,978.23,979.85,975.93,148800.0,VNINDEX,0,0.0,0.0,-0.0594059405940594,9,973.292,966.8849999999999,976.6717651367187,974.1539369563131
2020-01-21,986.37,978.82,986.37,978.82,157670.0,VNINDEX,0,0.0,0.0,-0.0594059405940594,24,977.1659999999999,969.634,981.5208825683594,978.2259579708755
2020-01-22,991.46,986.52,991.46,983.92,152350.0,VNINDEX,0,0.0,0.09090909090909091,-0.0594059405940594,17,981.9460000000001,973.8820000000002,986.4904412841797,982.6373053139171
2020-01-30,959.58,975.15,977.72,954.0,198510.0,VNINDEX,0,0.0,-0.06818181818181818,-0.0594059405940594,4,979.0,973.825,973.0352206420898,974.9515368759448
2020-01-31,936.62,959.58,960.96,936.62,253950.0,VNINDEX,0,0.0,-0.1590909090909091,-0.0594059405940594,2,970.5319999999999,970.633,954.8276103210449,962.1743579172967
2020-02-03,928.14,916.6,930.37,891.85,275520.0,VNINDEX,0,0.0,-0.20454545454545456,-0.0594059405940594,19,960.434,966.863,941.4838051605225,950.8295719448645
2020-02-04,929.09,929.42,934.91,919.33,197690.0,VNINDEX,0,0.0,-0.1590909090909091,-0.0594059405940594,12,948.9780000000001,963.0719999999999,935.2869025802613,943.583047963243
2020-02-05,925.91,934.75,936.33,921.89,197380.0,VNINDEX,0,0.0,-0.1590909090909091,-0.0594059405940594,14,935.868,958.9069999999999,930.5984512901307,937.6920319754954
2020-02-06,938.54,926.66,938.54,925.21,223670.0,VNINDEX,0,0.0,-0.022727272727272728,-0.0594059405940594,14,931.6600000000001,955.3299999999999,934.5692256450653,937.9746879836637
2020-02-07,940.75,938.61,943.48,935.94,194170.0,VNINDEX,0,0.0,-0.045454545454545456,-0.0594059405940594,15,932.4860000000001,951.509,937.6596128225326,938.8997919891092
2020-02-10,930.73,934.38,935.87,926.61,153970.0,VNINDEX,0,0.0,-0.06818181818181818,-0.0594059405940594,9,933.0040000000001,946.7189999999998,934.1948064112663,936.1765279927396
2020-02-11,934.67,930.73,936.04,930.73,179350.0,VNINDEX,0,0.0,-0.06818181818181818,-0.04950495049504951,22,934.1199999999999,941.549,934.4324032056331,935.6743519951598
2020-02-12,937.68,940.72,943.11,937.34,228040.0,VNINDEX,0,0.0,-0.045454545454545456,-0.04950495049504951,21,936.4739999999999,936.1709999999999,936.0562016028166,936.3429013301065
2020-02-13,938.24,937.19,939.1,934.47,177730.0,VNINDEX,0,0.0,0.0,-0.04950495049504951,13,936.414,934.0369999999999,937.1481008014083,936.9752675534045
2020-02-14,937.45,939.28,940.65,936.47,204350.0,VNINDEX,0,0.0,-0.022727272727272728,-0.04950495049504951,18,935.7540000000001,934.1200000000001,937.2990504007041,937.1335117022697
2020-02-17,934.77,938.52,938.52,931.66,183250.0,VNINDEX,0,-0.5416666666666666,-0.022727272727272728,-0.04950495049504951,14,936.5619999999999,934.7830000000001,936.034525200352,936.3456744681798
2020-02-18,927.93,934.47,934.98,926.01,187760.0,VNINDEX,0,-0.5416666666666666,-0.045454545454545456,-0.04950495049504951,8,935.2139999999999,934.667,931.982262600176,933.5404496454532
